Cast_Count,Station_ID,Datetime,Depth_bin_m,T_degC,Salinity,SigmaTheta
992,090.0 070.0,1950-02-06 19:54:00,5,14.04,33.17,24.766
992,090.0 070.0,1950-02-06 19:54:00,15,13.95,33.21,24.815
992,090.0 070.0,1950-02-06 19:54:00,25,13.9,33.21,24.826
992,090.0 070.0,1950-02-06 19:54:00,35,13.81,33.218,24.851
992,090.0 070.0,1950-02-06 19:54:00,55,13.25,33.15,24.912
992,090.0 070.0,1950-02-06 19:54:00,75,11.83,33.13,25.171
992,090.0 070.0,1950-02-06 19:54:00,85,11.7,33.142,25.204
992,090.0 070.0,1950-02-06 19:54:00,105,10.86,33.28,25.464
992,090.0 070.0,1950-02-06 19:54:00,125,10.08,33.481,25.755
992,090.0 070.0,1950-02-06 19:54:00,155,9.42,33.662,26.006
992,090.0 070.0,1950-02-06 19:54:00,205,8.4,33.95,26.393
992,090.0 070.0,1950-02-06 19:54:00,255,7.82,34.05,26.558
992,090.0 070.0,1950-02-06 19:54:00,305,7.04,34.14,26.74
992,090.0 070.0,1950-02-06 19:54:00,325,6.82,34.16,26.786
992,090.0 070.0,1950-02-06 19:54:00,395,6.26,34.16,26.86
1267,090.0 070.0,1950-04-08 17:30:00,5,15.02,33.38,24.72
1267,090.0 070.0,1950-04-08 17:30:00,15,14.98,33.4,24.744
1267,090.0 070.0,1950-04-08 17:30:00,25,13.87,33.273,24.881
1267,090.0 070.0,1950-04-08 17:30:00,35,13.31,33.235,24.966
1267,090.0 070.0,1950-04-08 17:30:00,55,13.13,33.283,25.039
1267,090.0 070.0,1950-04-08 17:30:00,85,12.9,33.299,25.098
1267,090.0 070.0,1950-04-08 17:30:00,105,12.42,33.378,25.253
1267,090.0 070.0,1950-04-08 17:30:00,125,11.23,33.493,25.564
1267,090.0 070.0,1950-04-08 17:30:00,155,9.88,33.635,25.91
1267,090.0 070.0,1950-04-08 17:30:00,165,9.5,33.68,26.007
1267,090.0 070.0,1950-04-08 17:30:00,205,8.67,33.906,26.317
1267,090.0 070.0,1950-04-08 17:30:00,215,8.59,33.94,26.356
