Cast_Count,Station_ID,Datetime,Depth_m,T_degC,Salinity,SigmaTheta
992,090.0 070.0,1950-02-06 19:54:00,0,14.04,33.17,24.766
992,090.0 070.0,1950-02-06 19:54:00,10,13.95,33.21,24.815
992,090.0 070.0,1950-02-06 19:54:00,20,13.9,33.21,24.826
992,090.0 070.0,1950-02-06 19:54:00,23,13.88,33.21,24.83
992,090.0 070.0,1950-02-06 19:54:00,30,13.81,33.218,24.851
992,090.0 070.0,1950-02-06 19:54:00,50,13.25,33.15,24.912
992,090.0 070.0,1950-02-06 19:54:00,72,11.83,33.13,25.171
992,090.0 070.0,1950-02-06 19:54:00,75,11.7,33.142,25.204
992,090.0 070.0,1950-02-06 19:54:00,99,10.86,33.28,25.464
992,090.0 070.0,1950-02-06 19:54:00,100,10.83,33.288,25.475
992,090.0 070.0,1950-02-06 19:54:00,125,10.08,33.481,25.755
992,090.0 070.0,1950-02-06 19:54:00,150,9.42,33.662,26.006
992,090.0 070.0,1950-02-06 19:54:00,195,8.4,33.95,26.393
992,090.0 070.0,1950-02-06 19:54:00,200,8.34,33.964,26.413
992,090.0 070.0,1950-02-06 19:54:00,248,7.82,34.05,26.558
992,090.0 070.0,1950-02-06 19:54:00,250,7.79,34.054,26.566
992,090.0 070.0,1950-02-06 19:54:00,300,7.04,34.14,26.74
992,090.0 070.0,1950-02-06 19:54:00,315,6.82,34.16,26.786
992,090.0 070.0,1950-02-06 19:54:00,388,6.26,34.16,26.86
992,090.0 070.0,1950-02-06 19:54:00,400,6.19,34.168,26.876
992,090.0 070.0,1950-02-06 19:54:00,500,5.66,34.245,27.004
992,090.0 070.0,1950-02-06 19:54:00,569,5.38,34.31,27.089
992,090.0 070.0,1950-02-06 19:54:00,600,5.25,34.328,27.119
992,090.0 070.0,1950-02-06 19:54:00,700,4.87,34.377,27.203
992,090.0 070.0,1950-02-06 19:54:00,708,4.84,34.38,27.208
992,090.0 070.0,1950-02-06 19:54:00,800,4.65,34.414,27.257
992,090.0 070.0,1950-02-06 19:54:00,898,4.44,34.45,27.31
1267,090.0 070.0,1950-04-08 17:30:00,0,15.02,33.38,24.72
1267,090.0 070.0,1950-04-08 17:30:00,10,14.98,33.4,24.744
1267,090.0 070.0,1950-04-08 17:30:00,20,13.87,33.273,24.881
1267,090.0 070.0,1950-04-08 17:30:00,24,13.36,33.22,24.944
1267,090.0 070.0,1950-04-08 17:30:00,30,13.31,33.235,24.966
1267,090.0 070.0,1950-04-08 17:30:00,50,13.13,33.283,25.039
1267,090.0 070.0,1950-04-08 17:30:00,53,13.1,33.29,25.051
1267,090.0 070.0,1950-04-08 17:30:00,75,12.9,33.299,25.098
1267,090.0 070.0,1950-04-08 17:30:00,77,12.88,33.3,25.102
1267,090.0 070.0,1950-04-08 17:30:00,100,12.42,33.378,25.253
1267,090.0 070.0,1950-04-08 17:30:00,105,12.28,33.4,25.297
1267,090.0 070.0,1950-04-08 17:30:00,125,11.23,33.493,25.564
1267,090.0 070.0,1950-04-08 17:30:00,150,9.88,33.635,25.91
1267,090.0 070.0,1950-04-08 17:30:00,157,9.5,33.68,26.007
1267,090.0 070.0,1950-04-08 17:30:00,200,8.67,33.906,26.317
1267,090.0 070.0,1950-04-08 17:30:00,208,8.59,33.94,26.356
1267,090.0 070.0,1950-04-08 17:30:00,250,7.84,34.014,26.527
1267,090.0 070.0,1950-04-08 17:30:00,300,7.07,34.05,26.665
1267,090.0 070.0,1950-04-08 17:30:00,311,6.92,34.05,26.686
1267,090.0 070.0,1950-04-08 17:30:00,400,6.33,34.195,26.879
1267,090.0 070.0,1950-04-08 17:30:00,419,6.23,34.22,26.912
1267,090.0 070.0,1950-04-08 17:30:00,500,5.42,34.227,27.018
1267,090.0 070.0,1950-04-08 17:30:00,522,5.23,34.23,27.043
1267,090.0 070.0,1950-04-08 17:30:00,600,5.05,34.356,27.165
1267,090.0 070.0,1950-04-08 17:30:00,625,5.04,34.4,27.201
1267,090.0 070.0,1950-04-08 17:30:00,700,4.81,34.439,27.259
1267,090.0 070.0,1950-04-08 17:30:00,800,4.47,34.454,27.309
1267,090.0 070.0,1950-04-08 17:30:00,828,4.37,34.45,27.317
1267,090.0 070.0,1950-04-08 17:30:00,900,4.16,34.476,27.36
1267,090.0 070.0,1950-04-08 17:30:00,1000,3.89,34.507,27.413
1267,090.0 070.0,1950-04-08 17:30:00,1049,3.76,34.52,27.437
1267,090.0 070.0,1950-04-08 17:30:00,1100,3.64,34.52,27.449
1267,090.0 070.0,1950-04-08 17:30:00,1200,3.4,34.52,27.473
1267,090.0 070.0,1950-04-08 17:30:00,1250,3.28,34.52,27.484
1387,090.0 070.0,1950-05-07 17:36:00,0,14.15,33.3,24.843
1387,090.0 070.0,1950-05-07 17:36:00,10,14.17,33.308,24.845
1387,090.0 070.0,1950-05-07 17:36:00,12,14.17,33.31,24.847
1387,090.0 070.0,1950-05-07 17:36:00,20,14.16,33.203,24.767
1387,090.0 070.0,1950-05-07 17:36:00,24,14.15,33.15,24.728
