lat,lon,speed (cm/s),direction (deg),acquired,resolution (km),origin
42.55,-124.55,16.1,187.1,9/8/2026 12:00,6,USWC
42.55,-124.49,16.5,194,9/8/2026 12:00,6,USWC
42.6,-124.61,33.5,259.7,9/8/2026 12:00,6,USWC
42.6,-124.55,16.6,237.3,9/8/2026 12:00,6,USWC
42.6,-124.49,6.1,189.5,9/8/2026 12:00,6,USWC
42.66,-124.61,18.1,276.3,9/8/2026 12:00,6,USWC
42.66,-124.55,1,90,9/8/2026 12:00,6,USWC
42.66,-124.49,14.1,81.9,9/8/2026 12:00,6,USWC
42.71,-124.68,15.3,281.3,9/8/2026 12:00,6,USWC
42.71,-124.61,5.4,291.8,9/8/2026 12:00,6,USWC
42.76,-124.86,14.8,298.3,9/8/2026 12:00,6,USWC
42.76,-124.8,13,292.6,9/8/2026 12:00,6,USWC
42.76,-124.74,7.1,278.1,9/8/2026 12:00,6,USWC
42.76,-124.68,1.4,315,9/8/2026 12:00,6,USWC
42.82,-125.3,8.5,315,9/8/2026 12:00,6,USWC
42.82,-124.99,14,270,9/8/2026 12:00,6,USWC
42.82,-124.93,23.4,309.8,9/8/2026 12:00,6,USWC
42.82,-124.86,14.9,312.3,9/8/2026 12:00,6,USWC
42.82,-124.8,15.6,315,9/8/2026 12:00,6,USWC
42.82,-124.74,11.7,301,9/8/2026 12:00,6,USWC
42.82,-124.68,13,292.6,9/8/2026 12:00,6,USWC
42.87,-125.68,9,270,9/8/2026 12:00,6,USWC
42.87,-125.61,13.5,318,9/8/2026 12:00,6,USWC
42.87,-125.36,7.1,278.1,9/8/2026 12:00,6,USWC
42.87,-125.3,7.8,309.8,9/8/2026 12:00,6,USWC
42.87,-125.24,7.8,309.8,9/8/2026 12:00,6,USWC
42.87,-125.18,16.1,299.7,9/8/2026 12:00,6,USWC
42.87,-125.05,33.2,291.2,9/8/2026 12:00,6,USWC
42.87,-124.99,14,270,9/8/2026 12:00,6,USWC
42.87,-124.93,19.4,281.9,9/8/2026 12:00,6,USWC
42.87,-124.86,14.4,303.7,9/8/2026 12:00,6,USWC
42.87,-124.8,12,274.8,9/8/2026 12:00,6,USWC
42.87,-124.74,11.2,259.7,9/8/2026 12:00,6,USWC
42.87,-124.68,11.4,285.3,9/8/2026 12:00,6,USWC
42.87,-124.61,20,267.1,9/8/2026 12:00,6,USWC
42.93,-125.74,10.3,240.9,9/8/2026 12:00,6,USWC
42.93,-125.68,10,275.7,9/8/2026 12:00,6,USWC
42.93,-125.61,10.8,291.8,9/8/2026 12:00,6,USWC
42.93,-125.55,12.2,305,9/8/2026 12:00,6,USWC
42.93,-125.36,9.9,225,9/8/2026 12:00,6,USWC
42.93,-125.3,7.1,278.1,9/8/2026 12:00,6,USWC
42.93,-125.24,19.1,312.9,9/8/2026 12:00,6,USWC
42.93,-125.18,20.6,320.9,9/8/2026 12:00,6,USWC
42.93,-125.11,32.8,301.3,9/8/2026 12:00,6,USWC
42.93,-125.05,17.1,276.7,9/8/2026 12:00,6,USWC
42.93,-124.99,18,289.4,9/8/2026 12:00,6,USWC
42.93,-124.93,21.9,294.2,9/8/2026 12:00,6,USWC
42.93,-124.86,14.9,289.7,9/8/2026 12:00,6,USWC
42.93,-124.8,14.3,282.1,9/8/2026 12:00,6,USWC
42.93,-124.74,12,270,9/8/2026 12:00,6,USWC
42.93,-124.68,9.2,282.5,9/8/2026 12:00,6,USWC
42.93,-124.61,11.7,290,9/8/2026 12:00,6,USWC
42.93,-124.55,8.5,315,9/8/2026 12:00,6,USWC
42.98,-125.68,11,275.2,9/8/2026 12:00,6,USWC
42.98,-125.61,16.1,299.7,9/8/2026 12:00,6,USWC
42.98,-125.55,9.5,288.4,9/8/2026 12:00,6,USWC
42.98,-125.24,8.1,299.7,9/8/2026 12:00,6,USWC
42.98,-125.11,17,298.1,9/8/2026 12:00,6,USWC
42.98,-125.05,16.6,295,9/8/2026 12:00,6,USWC
42.98,-124.99,15.7,296.6,9/8/2026 12:00,6,USWC
42.98,-124.93,21.5,291.8,9/8/2026 12:00,6,USWC
42.98,-124.86,18.7,285.5,9/8/2026 12:00,6,USWC
42.98,-124.8,16,273.6,9/8/2026 12:00,6,USWC
42.98,-124.74,18,273.2,9/8/2026 12:00,6,USWC
42.98,-124.68,12.2,279.5,9/8/2026 12:00,6,USWC
42.98,-124.61,10.8,303.7,9/8/2026 12:00,6,USWC
42.98,-124.55,9.2,12.5,9/8/2026 12:00,6,USWC
43.03,-125.68,21,295.3,9/8/2026 12:00,6,USWC
43.03,-125.61,21.5,297.8,9/8/2026 12:00,6,USWC
43.03,-125.55,22.8,307.9,9/8/2026 12:00,6,USWC
43.03,-125.49,17,315,9/8/2026 12:00,6,USWC
43.03,-125.36,10.6,318.8,9/8/2026 12:00,6,USWC
43.03,-125.3,18.6,323.7,9/8/2026 12:00,6,USWC
43.03,-125.24,18.4,319.4,9/8/2026 12:00,6,USWC
43.03,-125.18,20.6,309.1,9/8/2026 12:00,6,USWC
43.03,-125.11,13,292.6,9/8/2026 12:00,6,USWC
43.03,-125.05,6.1,260.5,9/8/2026 12:00,6,USWC
43.03,-124.99,13.9,291,9/8/2026 12:00,6,USWC
43.03,-124.93,18.7,285.5,9/8/2026 12:00,6,USWC
43.03,-124.86,24.1,274.8,9/8/2026 12:00,6,USWC
43.03,-124.8,27.1,274.2,9/8/2026 12:00,6,USWC
43.03,-124.74,27,270,9/8/2026 12:00,6,USWC
43.03,-124.68,27.2,276.3,9/8/2026 12:00,6,USWC
43.03,-124.61,21.5,291.8,9/8/2026 12:00,6,USWC
43.03,-124.55,13.3,13,9/8/2026 12:00,6,USWC
43.09,-125.68,25.6,308.7,9/8/2026 12:00,6,USWC
43.09,-125.61,26.2,310.4,9/8/2026 12:00,6,USWC
43.09,-125.55,26.2,310.4,9/8/2026 12:00,6,USWC
43.09,-125.49,18.9,302,9/8/2026 12:00,6,USWC
43.09,-125.36,13.4,333.4,9/8/2026 12:00,6,USWC
43.09,-125.3,17,331.9,9/8/2026 12:00,6,USWC
43.09,-125.24,19.4,325.5,9/8/2026 12:00,6,USWC
43.09,-125.18,15.6,309.8,9/8/2026 12:00,6,USWC
43.09,-125.11,12.5,298.6,9/8/2026 12:00,6,USWC
43.09,-125.05,14.3,282.1,9/8/2026 12:00,6,USWC
43.09,-124.99,11.7,250,9/8/2026 12:00,6,USWC
43.09,-124.93,17.1,263.3,9/8/2026 12:00,6,USWC
43.09,-124.86,22.2,262.2,9/8/2026 12:00,6,USWC
43.09,-124.8,28.1,265.9,9/8/2026 12:00,6,USWC
43.09,-124.74,32.1,273.6,9/8/2026 12:00,6,USWC
43.09,-124.68,41.8,281,9/8/2026 12:00,6,USWC
43.09,-124.61,44.6,289.7,9/8/2026 12:00,6,USWC
43.09,-124.55,34.4,305.5,9/8/2026 12:00,6,USWC
43.14,-125.61,22,309.5,9/8/2026 12:00,6,USWC
43.14,-125.55,22,309.5,9/8/2026 12:00,6,USWC
43.14,-125.49,14.4,303.7,9/8/2026 12:00,6,USWC
43.14,-125.36,14.3,335.2,9/8/2026 12:00,6,USWC
43.14,-125.3,21.5,338.2,9/8/2026 12:00,6,USWC
43.14,-125.24,20.1,333.4,9/8/2026 12:00,6,USWC
43.14,-125.18,16.3,312.5,9/8/2026 12:00,6,USWC
43.14,-125.11,14.9,289.7,9/8/2026 12:00,6,USWC
43.14,-125.05,11.4,254.7,9/8/2026 12:00,6,USWC
